WARNING:tensorflow:From /lustre/work/cse496dl/pmorrow4/homework3/model.py:61: calling reduce_sum (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
2019-04-05 17:37:00.503465: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2
2019-04-05 17:37:01.091403: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-04-05 17:37:01.094551: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: Tesla K20m major: 3 minor: 5 memoryClockRate(GHz): 0.7055
pciBusID: 0000:03:00.0
totalMemory: 4.63GiB freeMemory: 4.56GiB
2019-04-05 17:37:01.094614: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-04-05 17:37:01.557573: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-04-05 17:37:01.557693: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-04-05 17:37:01.557733: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-04-05 17:37:01.557992: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 4327 MB memory) -> physical GPU (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0, compute capability: 3.5)
TEST 1: Ep: 132, Score: 76449182.8, Steps: 1398, n_steps: 5000, training_start: 1000
TEST 1: Ep: 133, Score: 76340692.8, Steps: 1401, n_steps: 5000, training_start: 1000
TEST 1: Ep: 134, Score: 76297752.8, Steps: 1404, n_steps: 5000, training_start: 1000
TEST 1: Ep: 135, Score: 76345359.2, Steps: 1407, n_steps: 5000, training_start: 1000
TEST 1: Ep: 136, Score: 76294484.8, Steps: 1410, n_steps: 5000, training_start: 1000
TEST 1: Ep: 137, Score: 76446218.8, Steps: 1413, n_steps: 5000, training_start: 1000
TEST 1: Ep: 138, Score: 76357048.0, Steps: 1416, n_steps: 5000, training_start: 1000
TEST 1: Ep: 139, Score: 76286968.39999999, Steps: 1419, n_steps: 5000, training_start: 1000
TEST 1: Ep: 140, Score: 76243747.2, Steps: 1422, n_steps: 5000, training_start: 1000
TEST 1: Ep: 141, Score: 76446218.8, Steps: 1425, n_steps: 5000, training_start: 1000
TEST 1: Ep: 142, Score: 76449289.2, Steps: 1428, n_steps: 5000, training_start: 1000
TEST 1: Ep: 143, Score: 76264913.2, Steps: 1431, n_steps: 5000, training_start: 1000
TEST 1: Ep: 144, Score: 76497351.6, Steps: 1434, n_steps: 5000, training_start: 1000
TEST 1: Ep: 145, Score: 76550946.8, Steps: 1437, n_steps: 5000, training_start: 1000
TEST 1: Ep: 146, Score: 76405824.8, Steps: 1440, n_steps: 5000, training_start: 1000
TEST 1: Ep: 147, Score: 76550946.8, Steps: 1443, n_steps: 5000, training_start: 1000
TEST 1: Ep: 148, Score: 76233738.0, Steps: 1446, n_steps: 5000, training_start: 1000
TEST 1: Ep: 149, Score: 76446218.8, Steps: 1449, n_steps: 5000, training_start: 1000
TEST 1: Ep: 150, Score: 76479894.39999999, Steps: 1452, n_steps: 5000, training_start: 1000
TEST 1: Ep: 151, Score: 81465167.6, Steps: 1455, n_steps: 5000, training_start: 1000
TEST 1: Ep: 152, Score: 81490027.2, Steps: 1458, n_steps: 5000, training_start: 1000
TEST 1: Ep: 153, Score: 80032202.8, Steps: 1461, n_steps: 5000, training_start: 1000
TEST 1: Ep: 154, Score: 80164442.8, Steps: 1464, n_steps: 5000, training_start: 1000
